Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
148,Knight Quest,Cool Hand,Pac-Man Collection,CrossworDS,Disney Magical World 2,Anonymous Notes: Chapter 1 - From the Abyss,Over Horizon,Spider-Man and Venom: Separation Anxiety,Knife Edge: Nose Gunner,Madden NFL 2003,Bust-A-Move Bash!,Animal Crossing: amiibo Festival,Marvel Ultimate Alliance 3: The Black Order,,Cosmic Spacehead,Star Control,Sonic Drift,,Bubblegum Crash,Astra Superstars,Disney's Dinosaur,Arc the Lad Collection,Champions: Return to Arms,Resistance 2,Hidden Agenda,Innocent Life: A Futuristic Harvest Moon,Toukiden: The Age of Demons,Heimdall 2,Klax,,Stonekeep,Andorogynus,Dan Dare: Pilot of the Future,Pac-Man,Ganryu 2
149,Legend of the River King,The Mummy Returns,Namco Museum,Jam with the Band,Style Savvy: Trendsetters,Vampire Crystals,Pac-Man,Super R-Type,Battlezone: Rise of the Black Dogs,Madden NFL 2004,Kororinpa: Marble Mania,Devil's Third,Pikmin 3 Deluxe,,Fantastic Dizzy,Buck Rogers: Countdown to Doomsday,Urban Strike,,Captain Tsubasa,Pocket Fighter,Walt Disney World Quest: Magical Racing Tour,Wild Arms 2,X-Men Legends,Resistance 3,Resident Evil 5,Patapon 3,Lost Dimension,Dungeon Master II: The Legend of Skullkeep,Be Ball,,Menzoberranzan,Zanac Ex,Choro Q,Ms. Pac-Man,
150,Worms,Disney's Beauty and the Beast: A Board Game Adventure,Konami Krazy Racers,Style Savvy,Style Savvy: Fashion Forward,Viking Invasion,Parasol Stars,Kirby's Avalanche,Chopper Attack,Madden NFL 2005,Super Monkey Ball: Banana Blitz,Star Fox Guard,Kirby's Return to Dream Land Deluxe,,Excellent Dizzy Collection,Syndicate,Jungle Strike,,Championship Soccer '94,Primal Rage,102 Dalmatians: Puppies to the Rescue,Grandia,X-Men Legends II: Rise of Apocalypse,Soulcalibur IV,Resident Evil 4 (2023),Jak and Daxter: The Lost Frontier,Senran Kagura Shinovi Versus,Legend of the Sword,Champion Wrestler,,Ravenloft: Strahd's Possession,Break In,Moon Crystal,Galaga,
151,Oddworld Adventures,Daffy Duck: Fowl Play,Crazy Taxi: Catch a Ride,Tamagotchi Connection: Corner Shop,Style Savvy: Styling Star,Viking Invasion 2: Tower Defense,Power Blade,Samurai Shodown,Tom Clancy's Rainbow Six,Madden NFL 06,New Play Control! Pikmin,Dr. Luigi,Mario Party Superstars,,Daffy Duck in Hollywood,Theme Park,X-Men: Mojo World,,Cobra Command,Galaxy Fight: Universal Warriors,Buzz Lightyear of Star Command,SaGa Frontier,Marvel: Ultimate Alliance,Soulcalibur V,The Binding of Isaac: Rebirth,Naruto Shippuden: Ultimate Ninja Impact,Senran Kagura Estival Versus,Spirit of Adventure,Fire Pro Wrestling 2: 2nd Bout,,SimEarth,Super Boy I,XOR,Dig Dug,
152,Oddworld Adventures 2,Dave Mirra Freestyle BMX,Street Fighter Alpha 3,SimCity DS,Harvest Moon 3D: A New Beginning,Castle Conqueror,Power Blade 2,Alien 3,Superman 64,Madden NFL 07,New Play Control! Pikmin 2,Pushmo World,Super Mario Party,,Desert Speedtrap Starring Road Runner,Faery Tale Adventure,Spider-Man: Return of the Sinister Six,,Crime Patrol,Criticom,Chicken Run,SaGa Frontier 2,ESPN NFL 2K5,Gran Turismo 5,Little Nightmares II,Naruto Shippuden: Ultimate Ninja Heroes 3,Danganronpa Another Episode: Ultra Despair Girls,Fate: Gates of Dawn,Fire Pro Wrestling 3: Legend Bout,,SimAnt,Super Boy II,Kenja no Ishi,Mappy,
153,Probotector,Deer Hunter,Super Street Fighter II Turbo Revival,Zoo Keeper,Story of Seasons,Castle Conqueror: Against,Prince of Persia,Desert Strike: Return to the Gulf,South Park: Chef's Luv Shack,Madden NFL 08,New Play Control! Donkey Kong Jungle Beat,Art Academy: Home Studio,Mario Tennis Aces,,The Flintstones,Centurion: Defender of Rome,Batman Forever,,Formula One World Championship,Mortal Kombat II,The Grinch,Dragon Quest VII,Madden NFL 2005,Gran Turismo 6,Resident Evil HD Remaster,Naruto: Ultimate Ninja Heroes,1001 Spikes,Flames of Freedom,World Class Baseball,,SimFarm,Super Boy III,Magic Carpet,The Tower of Druaga,
154,Paperboy,Deja Vu I & II,Tekken Advance,Pac-Pix,Story of Seasons: Trio of Towns,Castle Conqueror: Heroes,The Adventures of Rad Gravity,Tetris 2,South Park Rally,NBA Live 2003,New Play Control! Mario Power Tennis,Guitar Hero Live,Mario Golf: Super Rush,,Bonkers Wax Up!,PowerMonger,The Incredible Hulk,,Frog Feast,Mortal Kombat Trilogy,Space Channel 5: Part 2,Persona: Revelations,Madden NFL 2004,LittleBigPlanet Karting,The Walking Dead: Saints & Sinners,Naruto: Ultimate Ninja Heroes 2,Asphalt Injection,Hunter,Download 2,,SimLife,Nemesis 2,Mission A.D.,Dragon Spirit,
155,Pipe Dream,Disney's Tarzan,Mortal Kombat: Deadly Alliance,Point Blank DS,Rune Factory 4,Crazy Chicken Pirates,Rainbow Islands,Mario Paint,Spider-Man,NBA Live 2004,Madden NFL 13,Epic Mickey 2: The Power of Two,Mario Strikers: Battle League,,Mickey's Ultimate Challenge,Columns III,Captain America and the Avengers,,Ishii Hisaichi no Daiseikai,Battle Arena Toshinden URA,Ecco the Dolphin: Defender of the Future,Jade Cocoon: Story of the Tamamayu,NFL Street,MotorStorm: Apocalypse,Alien: Isolation,Dragon Ball Z: Shin Budokai,God Wars Future Past,Body Blows Galactic,Spriggan Mark 2,,The Bard's Tale II: The Destiny Knight,Nemesis 3: The Eve of Destruction,Tetra,Xevious,
156,Shanghai,Donald Duck: Goin' Quackers,Mortal Kombat: Tournament Edition,Bomberman Land Touch!,7th Dragon III Code: VFD,Crazy Golf,Rampage,NHL 94,Nightmare Creatures,NBA Street,MLB Power Pros,Sonic Boom: Rise of Lyric,Nintendo Switch Sports,,Smash T.V.,Puyo Puyo,Megami Tensei Gaiden: Last Bible,,Lunar: Sanposuru Gakuen,Virtua Fighter Kids,Floigan Brothers,Azure Dreams,NBA Street,WipEout HD,Zero Escape: The Nonary Games,Dragon Ball Z: Shin Budokai - Another Road,Atari Flashback Classics,Street Fighter II,Aldynes,,Warlords II,Quinpl,Lunar Ball,Rolling Thunder,
157,Choplifter II,Donkey Kong GB: Dinky Kong & Dixie Kong,Dragon Ball Z: Taiketsu,Ridge Racer DS,Apollo Justice: Ace Attorney,Flips: Terror in Cubicle Land,Renegade,NHLPA Hockey '93,Starshot: Space Circus Fever,NBA Street V3,We Love Golf!,Tank! Tank! Tank!,WarioWare: Get It Together!,,Rampage,Mega Bomberman,Coca-Cola Kid,,Nostalgia 1907,Shin Megami Tensei: Devil Summoner,Sega Smash Pack Volume 1,Chocobo Racing,FIFA Soccer 2004,Need for Speed: Most Wanted,Until Dawn,Phantasy Star Portable,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,Mortal Kombat,Last Alert,,Steel Panthers,Tetris,Lupin Sansei: Cagliostro no Shiro,Rolling Thunder 2,
158,Choplifter III,Dragon Dance,Guilty Gear X: Advance Edition,Asphalt: Urban GT,Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,Paul's Monster Adventure,Ring King,Super Bomberman 3,Wetrix,FIFA Soccer 2003,Michael Jackson: The Experience,1001 Spikes,Yoshi's Crafted World,,Pit Fighter,Flicky,Pop Breaker,,PowerMonger,Shin Megami Tensei: Devil Summoner: Soul Hackers,Headhunter,Chocobo's Dungeon 2,Winning Eleven 8,Sonic Unleashed,Resident Evil 3,Phantasy Star Portable 2,Sonic & All-Stars Racing Transformed,Mortal Kombat II,Exile,,Fantasy General,Flicky,Mahjong,Splatterhouse,
159,Ghosts 'n Goblins,Buffy the Vampire Slayer,King of Fighters EX,Need for Speed: Most Wanted,Mario and Donkey Kong: Minis on the Move,Paul's Shooting Adventure 2,Robin Hood: Prince of Thieves,Stunt Race FX,Lode Runner 3-D,FIFA Soccer 2004,Just Dance,Spin the Bottle: Bumpie's Party,Captain Toad: Treasure Tracker,,Mortal Kombat,Alex Kidd in the Enchanted Castle,Shanghai II,,Quiz Scramble Special,Langrisser III,Maken X,Final Fantasy Origins,Fight Night Round 2,Sorcery,Darkwood,Untold Legends: Brotherhood of the Blade,LittleBigPlanet PS Vita,Shadow Fighter,Exile: Wicked Phenomenon,,Jagged Alliance,Teddy Boy Blues,Time Pilot '84,Genpei Tōma Den,
160,Snow Brothers,Driver,King of Fighters EX2,Orcs and Elves,Fossil Fighters: Frontier,Rytmik,Rockin' Kats,Wario's Woods,Toy Story 2: Buzz Lightyear to the Rescue,NHL 2003,Just Dance 4,Cloudberry Kingdom,Clubhouse Games: 51 Worldwide Classics,,Mortal Kombat II,Wonder Boy III: Monster Lair,Super Golf,,Record of Lodoss War,Langrisser IV,Slave Zero,Final Fantasy Anthology,Fight Night 2004,Dead Space 3,Metro Redux,Untold Legends: The Warrior's Code,Superdimension Neptune vs Sega Hard Girls,Switchblade,Riot Zone,,Scorched Earth,Trans-Ball,Transylvanian Adventure,Ordyne,
161,Pop'n TwinBee,Earthworm Jim: Menace 2 the Galaxy,FIFA 2003,Legend of Kage 2,Freakyforms Deluxe,Rytmik: Rock Edition,Rollergames,Dragon Quest VI,A Bug's Life,NHL 2004,Dance Dance Revolution Hottest Party,CastleStorm,ARMS,,Virtua Fighter Animation,Fatal Fury 2,The Majors: Pro Baseball,,Revenge of the Ninja,Langrisser V: The End of Legend,Expendable,Final Fantasy Chronicles,WWE SmackDown! Here Comes the Pain,Dead Island,Detention,Dungeon Siege: Throne of Agony,Smart As...,Switchblade II,Dungeon Explorer II,,Worms,Thunder Ball,Mystery House,Phelios,
162,Turrican,Elevator Action EX,FIFA 2005,Lego Star Wars: The Complete Saga,Cubic Ninja,Rytmik World Music,Section Z,Tactics Ogre: Let Us Cling Together,Tarzan,Tiger Woods PGA Tour 2004,Dance Dance Revolution Hottest Party 2,Tumblestone,"Snipperclips - Cut it out, together!",,James Bond 007: The Duel,Samurai Shodown,Bram Stoker's Dracula,,Shadowrun,The Legend of Heroes I & II,Heavy Metal: Geomatrix,Mega Man X5,WWE SmackDown vs. Raw 2006,Resident Evil 6,Little Nightmares,X-Men Legends II: Rise of Apocalypse,Sorcery Saga: Curse of the Great Curry God,Midnight Resistance,Dungeon Master: Theron's Quest,,Liero,Volguard,Portopia Renzoku Satsujin Jiken,Assault,
163,The Flintstones,Extreme Sports with The Berenstain Bears,Madden NFL 2003,Lego Indiana Jones: The Original Adventures,Bit.Trip Saga,Petit Computer,Shatterhand,Fire Emblem: Genealogy of the Holy War,Mickey's Speedway USA,Tiger Woods PGA Tour 2005,Dance Dance Revolution Hottest Party 3,Kung Fu Rabbit,New Pokemon Snap,,Dick Tracy,World Heroes,Greendog: The Beached Surfer Dude,,Star Wars Chess,Anarchy in the Nippon,Industrial Spy: Operation Espionage,Mega Man X6,Tony Hawk's Underground,Silent Hill: Homecoming,SOMA,Marvel: Ultimate Alliance,Sword Art Online: Hollow Fragment,Operation Wolf,Record of Lodoss War,,Stunts,The Legend of Hero Tonma,The Byakkoya,Burning Force,
164,Blades of Steel,FIFA 2000,NBA Jam 2002,Lego Batman: The Videogame,Liberation Maiden,Inchworm Animation,Silkworm,Fire Emblem: Thracia 776,Donald Duck: Goin' Quackers,MVP Baseball 2004,Guitar Hero: World Tour,Puddle,"Pokemon: Let's Go, Pikachu!",,Ghostbusters,Chakan: The Forever Man,Krusty's Fun House,,Switch,Ghen War,Crazy Taxi 2,Castlevania Chronicles,Tony Hawk's Underground 2,F.E.A.R.,Moss,Marvel: Ultimate Alliance 2,Yu-No: A Girl Who Chants Love at the Bound of this World,Operation Thunderbolt,Dragon Slayer: The Legend of Heroes,,Test Drive,King & Balloon,Daiva,Dragon Saber,
165,Batman: Return of the Joker,Animorphs,Tony Hawk's Underground,Call of Duty 4: Modern Warfare,Sakura Samurai: Art of the Sword,Go! Go! Kokopolo,Skate or Die,Romancing SaGa,Scooby-Doo! Classic Creep Capers,MVP Baseball 2005,Guitar Hero 5,Edge,"Pokemon: Let's Go, Eevee!",,Where in the World Is Carmen Sandiego?,Valis,The Simpsons: Bart vs. The Space Mutants,,Syndicate,Firestorm: Thunderhawk 2,18 Wheeler: American Pro Trucker,Armored Core: Project Phantasma,Tony Hawk's American Wasteland,F.E.A.R. 2: Project Origin,Manifold Garden,Assassin's Creed: Bloodlines,Ys: The Oath in Felghana,Battle Squadron,Dragon Slayer: The Legend of Heroes II,,Test Drive II: The Duel,Moai no Hihou,Lagrange Point,Dangerous Seed,
166,Navy Seals,Force 21,Tony Hawk's Underground 2,Call of Duty: World at War,Crimson Shroud,Music on: Drums,Ski or Die,Romancing SaGa 2,Rugrats in Paris: The Movie,All-Star Baseball 2003,Guitar Hero: Warriors of Rock,Color Zen,Pokemon Brilliant Diamond,,King's Quest,Valis III,The Simpsons: Bart vs. The World,,The Lawnmower Man,Mass Destruction,Charge N Blast,Vib Ribbon,Burnout Dominator,F.E.A.R. 3,Katamari Damacy REROLL,Prince of Persia: Revelations,Ys Seven,Blood Money,Cosmic Fantasy,,Crusader: No Regret,New Rally-X,Tashiro Masashi no Princess ga Ippai,Strikers 1945,
167,Prehistorik Man,Frogger's Adventures: Temple of the Frog,SSX 3,Spider-Man: Web of Shadows,Attack of the Friday Monsters! A Tokyo Tale,Music on: Learning Piano,Sky Shark,Romancing SaGa 3,Rugrats: Scavenger Hunt,All-Star Baseball 2004,Rock Band 3,Paper Monsters Recut,Pokemon Shining Pearl,,Heroes of the Lance,Space Harrier II,The Addams Family,,Time Gal & Ninja Hayate,Soviet Strike,Death Crimson OX,Um Jammer Lammy,Colin McRae Rally 3,Resident Evil: Revelations,Prey,Prince of Persia: Rival Swords,Ys Origin,Menace,Cosmic Fantasy 2,,Carmageddon,Bosconian,Genmu Senki Leda,Strikers 1945 II,
168,Street Fighter II,Game Boy Wars 3,Mat Hoffman's Pro BMX,Transformers: War for Cybertron - Autobots,Weapon Shop de Omasse,Music on: Playing Piano,Smash TV,Ganbare Goemon 2,Star Wars: Battle for Naboo,NFL Street,The Beatles: Rock Band,Bombing Bastards,Pokemon Mystery Dungeon: Rescue Team DX,,Monopoly,Galaxy Force II,Garfield: Caught in the Act,,Tenka Fubu,Tempest 2000,Cannon Spike,Silent Bomber,WRC: Rally Evolved,Resident Evil: Revelations 2,WRC 8: FIA World Rally Championship,Splinter Cell: Essentials,Risk of Rain,Uridium 2,Startling Odyssey,,Death Rally,Battle City,Marchen Veil,Gunbird,
169,Mortal Kombat,Gift,Dave Mirra Freestyle BMX 2,Dragon Ball Z: Attack of the Saiyans,HarmoKnight,Music on: Retro Keyboard,Soccer,Ganbare Goemon 3,Indiana Jones and the Infernal Machine,NFL Street 2,Carnival Games,Squids Odyssey,Sonic Frontiers,,Casino Games,After Burner II,Cutthroat Island,,Aitakute... Your Smiles in My Heart,Tetris Plus,Roommania #203,Bust-A-Groove 2,Tourist Trophy: The Real Riding Simulator,Resident Evil HD Remaster,F1 2021,Ridge Racer,Root Letter,Disposable Hero,Startling Odyssey II,,Maniac Mansion,Tank Battalion,Mugen no Shinzou,Gunbird 2,
170,Mortal Kombat II,Godzilla: The Series,Kelly Slater's Pro Surfer,Yu-Gi-Oh! 5D's World Championship 2010,Rusty's Real Deal Baseball,Music on: Electric Guitar,Spy Hunter,Clock Tower,Mission: Impossible,FIFA Street,Deca Sports,Madden NFL 13,Sonic Superstars,,Parlour Games,Paperboy,Bonanza Bros.,,Aranami,Puzzle Bobble 2,Ghost Blade,Dance Dance Revolution,MX Unleashed,Resident Evil Zero HD Remaster,Cars 3: Driven to Win,Ridge Racer 2,Curses 'N Chaos,Super Stardust,Avenger,,Zork I: The Great Underground Empire,Exerion,Cross Blaim,Sengoku Ace,
171,Killer Instinct,Gold and Glory: The Road to El Dorado,Spider-Man: Mysterio's Menace,Harvest Moon DS,Nintendo Badge Arcade,Trailblaze: Puzzle Incinerator,Stinger,Gundam Wing: Endless Duel,Xena: Warrior Princess: The Talisman of Fate,Medal of Honor: Frontline,Deca Sports 2,FIFA 13,Mega Man 11,,Cyber Police ESWAT,Global Gladiators,Bubble Bobble,,Arcus I-II-III,Puzzle Bobble 3,Fast Striker,Koudelka,ATV Offroad Fury 2,Dead Rising 2,Wreckfest,Midnight Club: L.A. Remix,Daggerhood,Wings of Death,Buster Bros,,Zork II: The Wizard of Frobozz,Exerizer,Fairyland Story,Sol Divide,
172,Primal Rage,Hole in One Golf,Batman: Rise of Sin Tzu,Harvest Moon: Island of Happiness,StreetPass Mii Plaza,Space Invaders Extreme Z,Strider,Umihara Kawase,Hercules: The Legendary Journeys,Medal of Honor: Rising Sun,SSX Blur,NBA 2K13,Mega Man Legacy Collection,,Running Battle,McDonald's Treasure Land Adventure,Bust-A-Move,,Bakuretsu Hunter,Columns 97,Neo XYX,Resident Evil: Director's Cut,SOCOM: U.S. Navy SEALs,Terraria,Team Sonic Racing,Burnout Dominator,Ultimate Marvel vs. Capcom 3,Z-Out,Don Doko Don,,Return to Zork,Formation Z,Alpha Squadron,Dragon Blaze,
173,Power Quest,Hot Wheels Stunt Track Driver,Batman Begins,Harvest Moon: Tale of Two Towns,AR Games,Wakugumi: Monochrome Puzzle,Super Mario Bros. 2 (Japan),Parodius Da!,Tonic Trouble,Medal of Honor: European Assault,Shaun White Snowboarding: Road Trip,Rabbids Land,Mega Man X Legacy Collection,,Dynamite Duke,RoboCop versus The Terminator,Buster Ball,,Blades of Vengeance,Puyo Puyo Sun,Pier Solar and the Great Architects,Clock Tower,SOCOM II: U.S. Navy SEALs,Minecraft: PlayStation 3 Edition,Gran Turismo 7,Street Fighter Alpha 3 MAX,Need for Speed: Most Wanted,Hybris,Formation Soccer,,Loom,Super Dynamix,Great Tank,Tengai,
174,Magnetic Soccer,Inspector Gadget: Operation Madkactus,Justice League Heroes: The Flash,Etrian Odyssey,Face Raiders,True Swing Golf Express,Sweet Home,Gokujou Parodius,AeroFighters Assault,Call of Duty: Finest Hour,Shaun White Skateboarding,ESPN Sports Connection,Rune Factory 5,,Secret Command,Terminator 2: Judgment Day,Casino FunPak,,Bloodshot,Puyo Puyo Tsuu,Wind and Water: Puzzle Battles,Clock Tower II: The Struggle Within,SOCOM 3: U.S. Navy SEALs,God of War: Ascension,Garfield Kart: Furious Racing,Mortal Kombat: Unchained,Jak and Daxter Collection,Lethal Xcess,Gradius II: Gofer no Yabou,,The Dig,Dynamite Bowl,Hover Attack 2,Robotron: 2084,
175,Side Pocket,International Superstar Soccer '99,Teen Titans,Knights in the Nightmare,Swapnote,Need for Speed: Nitro-X,Swords and Serpents,Macross: Scrambled Valkyrie,Aero Gauge,Call of Duty 2: Big Red One,Skate It,Sing Party,Rune Factory 4 Special,,Ninja,Alien 3,Chessmaster,,Buster Bros. Collection,Magical Drop 2,Coaster Works,Parasite Eve II,Killzone,Killzone 2,Dirt 5,Guilty Gear XX Accent Core Plus,ModNation Racers: Road Trip,F-15 Strike Eagle II,Heavy Unit,,Indiana Jones and the Last Crusade: The Graphic Adventure,Championship Lode Runner,Runners High,Smash TV,
176,Shantae,International Track & Field,X-Men: Reign of Apocalypse,Nostalgia,Steel Empire,Earthworm Jim,TaleSpin,Treasure Hunter G,Airboarder 64,007: Nightfire,MySims,The Voice: I Want You,Story of Seasons: Friends of Mineral Town,,Global Gladiators,Predator 2,Cliffhanger,,Dashin' Desperadoes,Magical Drop 3,AirForce Delta,Galerians,TimeSplitters,Killzone 3,Assetto Corsa,BlazBlue: Continuum Shift II,God of War Collection,F-19 Stealth Fighter,Kaizou Chounin Shubibinman 2,,King's Quest I: Quest for the Crown,Ant Eater,Goonies,Total Carnage,
177,Metal Gear Solid,Jeopardy!,Rayman Advance,Blue Dragon Plus,Gunman Clive,Oscar in Movieland,Target: Renegade,Der Langrisser,Destruction Derby 64,007: Everything or Nothing,MySims Kingdom,Pac-Man and the Ghostly Adventures,Baba Is You,,Krusty's Fun House,True Lies,Solitaire FunPak,,Death Bringer,Mr. Bones,Aerowings,Medal of Honor,Red Faction,Call of Duty: World at War,Grid Legends,BlazBlue: Calamity Trigger Portable,Sword Art Online: Lost Song,Gunship 2000,Kaizou Chounin Shubibinman 3,,King's Quest II: Romancing the Throne,Konami's Synthetizer,King Kong 2,Defender,
178,BurgerTime Deluxe,Keitai Denjuu Telefang: Power Version,Rayman 3,Black Sigil: Blade of the Exiled,Gunman Clive 2,Rabi Laby,Tecmo Baseball,Shin Megami Tensei,Cruis'n Exotica,007: Agent Under Fire,The Sims 3,Pac-Man and the Ghostly Adventures 2,Wargroove,,Bram Stoker's Dracula,The Terminator,Desert Speedtrap Starring Road Runner and Wile E. Coyote,,Ecco the Dolphin CinePak Demo,Scud: The Disposable Assassin,Aerowings 2: Airstrike,Medal of Honor: Underground,Red Faction II,Battlefield 3,DiRT Rally,WWE SmackDown vs. Raw 2007,Sword Art Online: Hollow Realization,A-10 Tank Killer,Mr. Heli,,King's Quest III: To Heir Is Human,Alpha Blaster,Crisis Mountain,Joust,
179,Lock n' Chase,Kirby Family,Crash Bandicoot: The Huge Adventure,Sands of Destruction,VVVVVV,Rabi Laby 2,Tecmo NBA Basketball,Shin Megami Tensei II,San Francisco Rush: Extreme Racing,GoldenEye: Rogue Agent,SimCity Creator,Angry Birds Trilogy,Dicey Dungeons,,Dragon: The Bruce Lee Story,Rambo III,Ernie Els Golf,,Fahrenheit 32X CD,GunGriffon II,Maximum Pool,Spec Ops: Stealth Patrol,GUN,Top Spin 4,Ride 4,WWE SmackDown vs. Raw 2008,Hyperdimension Neptunia Re;Birth1,Silent Service II,R-Type Complete CD,,King's Quest IV: The Perils of Rosella,Avenger,Vectron,Sinistar,
180,Dragon Warrior Monsters,Konami GB Collection Vol. 1,Crash Bandicoot 2: N-Tranced,Avalon Code,Fractured Soul,Robot Rescue 2,The Adventures of Bayou Billy,Tales of Phantasia,California Speed,Star Wars: Rogue Squadron III: Rebel Strike,Need for Speed: Carbon,Angry Birds Star Wars,Spelunky 2,,Captain America and the Avengers,Joe Montana Football,Fred Couples Golf,,Final Zone II,PGA Tour '97,Jimmy White's 2: Cueball,Spider-Man,Mercenaries 2: World in Flames,UFC Undisputed 3,The Crew Motorfest,WWE SmackDown vs. Raw 2009,Hyperdimension Neptunia Re;Birth2,Falcon,Wonder Momo,,King's Quest VII: The Princeless Bride,Blagger,MSX Baseball,Gauntlet,
181,Tetris Plus,Konami GB Collection Vol. 2,Crash Nitro Kart,Soma Bringer,Ikachan,Tangrams,The Legend of Kage,Dragon Quest III,Off Road Challenge,Star Wars: The Clone Wars,Need for Speed: Hot Pursuit,Adventure Time: Explore the Dungeon Because I Don't Know!,Spelunky,,Masters of Combat,Joe Montana II: Sports Talk Football,Galaxy Force II,,Galaxy Force II,Pebble Beach Golf Links,Virtua Athlete 2K,Spider-Man 2: Enter Electro,The Bouncer,Fight Night Champion,Need for Speed Heat,WWE SmackDown vs. Raw 2010,Hyperdimension Neptunia Re;Birth3,Indianapolis 500: The Simulation,Youkai Douchuuki,,Space Quest I: The Sarien Encounter,Boggy '84,Dead of the Brain,Gauntlet II,
182,Dragon Warrior I & II,Konami GB Collection Vol. 3,Spyro: Season of Ice,Glory of Heracles,Creeping Terror,Dragon's Lair,The Little Mermaid,Madden NFL 94,Automobili Lamborghini,Star Wars Jedi Knight II: Jedi Outcast,Need for Speed: Nitro,Ben 10: Omniverse,What Remains of Edith Finch,,George Foreman's KO Boxing,FIFA International Soccer,Tempo Jr.,,Ghost Manor,Pro Pinball: The Web,Sydney 2000,Harry Potter and the Philosopher's Stone,Rez,Dirt 2,EA Sports WRC,WWE SmackDown vs. Raw 2011,Atelier Ayesha Plus: The Alchemist of Dusk,Vroom,Ys IV: The Dawn of Ys,,Space Quest II: Vohaul's Revenge,Comic Game,Mado Monogatari,Marble Madness,
183,Penguin Wars,Konami GB Collection Vol. 4,Spyro 2: Season of Flame,Steal Princess,Severed,Dragon's Lair II: Time Warp,Tiger-Heli,NHL Stanley Cup,Monaco Grand Prix,Star Wars: Bounty Hunter,Prince of Persia: The Forgotten Sands,Ben 10: Omniverse 2,Limbo,,James Buster Douglas Knockout Boxing,FIFA Soccer 95,Griffin,,Heavy Metal: Geomatrix,Rampage World Tour,Sega Swirl,Toy Story 2,Gitaroo Man,Dirt 3,Hot Wheels Unleashed 2: Turbocharged,FIFA 09,Atelier Shallie Plus: Alchemists of the Dusk Sea,Jaguar XJ220,Tengai Makyo: Fuun Kabuki Den,,Space Quest III: The Pirates of Pestulon,Computer Billiards,Dungeon Magic,Paperboy,
184,Milon's Secret Castle,Lego Alpha Team,Spyro: Attack of the Rhynocs,Away: Shuffle Dungeon,Culdcept Revolt,Space Ace,Tiny Toon Adventures,International Superstar Soccer,V-Rally Edition 99,Lego Star Wars: The Video Game,Ivy the Kiwi?,Rise of the Guardians,Salt and Sanctuary,,Heavyweight Champ,NBA Live 95,Putt & Putter,,Jangou World Cup,Revolution X,Dave Mirra Freestyle BMX,A Bug's Life,Parappa the Rapper 2,Grid,F1 24,FIFA 10,One Piece: Burning Blood,Power Drive,Zero4 Champ,,Space Quest V: The Next Mutation,Crazy Train,Famicle Parodic,720°,
185,Spanky's Quest,Lego Island 2,Tak and the Power of Juju,Pokemon Trozei!,Lord of Magna: Maiden Heaven,Nyan Sky,Top Gun,International Superstar Soccer Deluxe,F-1 World Grand Prix,Lego Star Wars II: The Original Trilogy,We Ski,The Amazing Spider-Man,Moonlighter,,Rocky,NHL 95,Heavyweight Champ,,Lunar: Magic School,Robotica,Tony Hawk's Pro Skater,Digimon World,Karaoke Revolution,Grid Autosport,Disney Speedstorm,FIFA 11,One Piece: Pirate Warriors 3,Super Hang-On,Zero4 Champ II,,Space Quest VI: Roger Wilco in the Spinal Frontier,Fantasy,Ginga Denshou: Galaxy Odyssey,Klax,
186,Faceball 2000,Lego Racers,Tak 2: The Staff of Dreams,Magnetica,Return to PopoloCrois: A Story of Seasons Fairytale,Paper Wars: Cannon Fodder,Track & Field,Donkey Kong Country Competition Cartridge,F-1 World Grand Prix II,Alien Hominid,We Ski & Snowboard,The Amazing Spider-Man 2,Children of Morta,,Joe Montana Football,Madden NFL 95,Incredible Crash Dummies,,Midnight Raiders,Rise 2: Resurrection,Mat Hoffman's Pro BMX,Digimon World 2,Contra: Shattered Soldier,Twisted Metal,MotoGP 24,FIFA 12,Samurai Warriors 4,Outrun,Final Match Tennis,,Police Quest II: The Vengeance,Final Zone,Fire Ball,Rampart,
187,Home Alone,Lemmings & Oh No! More Lemmings,Jimmy Neutron: Boy Genius,Picross DS,Conception II: Children of the Seven Stars,Commando: Steel Disaster,Track & Field II,Power Rangers: The Fighting Edition,Nagano Winter Olympics 98,Viewtiful Joe 2,Pro Evolution Soccer 2013,Transformers Prime,Furi,,American Pro Football,Tecmo Super Bowl,James Bond 007: The Duel,,Moon Gate,Robo Pit,Rippin' Riders,Digimon World 3,Gradius V,Ridge Racer 7,Wipeout Omega Collection,Pro Evolution Soccer 2012,Warriors Orochi 3 Ultimate,Chase HQ,Silent Debuggers,,Police Quest III: The Kindred,Flipper Slipper,Hi no Tori: Houou Hen,Tempest,
